hybrid structure,dropout rate,minibatch size,alpha,alphaf,Niter multiplier,RMSE_tr,RMSE_tt,RMSE_all,MSE_tr,MSE_tt,MSE_all,AIC_tr,AIC_tt,AIC_all,VAR,npar,time(s)
In(27)-ReLU(10)-ReLU(10)-ReLU(4)-Rate(4)-ODE(25),0.1,1,0.001,0.001,92.16589861751152,3.67e-02 (±0.00e+00),4.76e-02 (±0.00e+00),4.42e-02 (±0.00e+00),1.35e-03 (±0.00e+00),2.26e-03 (±0.00e+00),1.96e-03 (±0.00e+00),-1.55e+04 (±0),-7.91e+03 (±0),-2.71e+04 (±0),99.4 (±0),434,484 (±0)
In(27)-ReLU(10)-ReLU(10)-LSTM(4)-Rate(4)-ODE(25),0.1,1,0.001,0.001,65.14657980456026,3.26e-02 (±0.00e+00),3.76e-02 (±0.00e+00),3.78e-02 (±0.00e+00),1.06e-03 (±0.00e+00),1.41e-03 (±0.00e+00),1.43e-03 (±0.00e+00),-1.55e+04 (±0),-7.76e+03 (±0),-2.81e+04 (±0),99.6 (±0),614,717 (±0)
